;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;PQFP-208;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
98;;ADDR[7];;;;;98;;;Passive;;1;;True;;True;;ADDR[7];;;0mm;;;
99;;VDDI;;;;;99;;;Passive;;1;;True;;True;;VDDI;;;0mm;;;
100;;ADDR[6];;;;;100;;;Passive;;1;;True;;True;;ADDR[6];;;0mm;;;
101;;ADDR[5];;;;;101;;;Passive;;1;;True;;True;;ADDR[5];;;0mm;;;
102;;ADDR[4];;;;;102;;;Passive;;1;;True;;True;;ADDR[4];;;0mm;;;
103;;ADDR[3];;;;;103;;;Passive;;1;;True;;True;;ADDR[3];;;0mm;;;
104;;VSS;;;;;104;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
105;;VSS;;;;;105;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
106;;ADDR[2];;;;;106;;;Passive;;1;;True;;True;;ADDR[2];;;0mm;;;
107;;ADDR[1];;;;;107;;;Passive;;1;;True;;True;;ADDR[1];;;0mm;;;
108;;ADDR[0];;;;;108;;;Passive;;1;;True;;True;;ADDR[0];;;0mm;;;
109;;BA1;;;;;109;;;Passive;;1;;True;;True;;BA1;;;0mm;;;
110;;VDDO;;;;;110;;;Passive;;1;;True;;True;;VDDO;;;0mm;;;
111;;BA0;;;;;111;;;Passive;;1;;True;;True;;BA0;;;0mm;;;
112;;CLK54MEM;;;;;112;;;Passive;;1;;True;;True;;CLK54MEM;;;0mm;;;
113;;RASB;;;;;113;;;Passive;;1;;True;;True;;RASB;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:21:49 AM;;;;;;;;;;;;;;;;;;;;;;;Page 2 of 4;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;PQFP-208;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
114;;CASB;;;;;114;;;Passive;;1;;True;;True;;CASB;;;0mm;;;
115;;WEB;;;;;115;;;Passive;;1;;True;;True;;WEB;;;0mm;;;
116;;VDDI;;;;;116;;;Passive;;1;;True;;True;;VDDI;;;0mm;;;
117;;DQM;;;;;117;;;Passive;;1;;True;;True;;DQM;;;0mm;;;
118;;DATA[15];;;;;118;;;Passive;;1;;True;;True;;DATA[15];;;0mm;;;
119;;DATA[14];;;;;119;;;Passive;;1;;True;;True;;DATA[14];;;0mm;;;
120;;DATA[13];;;;;120;;;Passive;;1;;True;;True;;DATA[13];;;0mm;;;
121;;DATA[12];;;;;121;;;Passive;;1;;True;;True;;DATA[12];;;0mm;;;
122;;VSS;;;;;122;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
123;;DATA[11];;;;;123;;;Passive;;1;;True;;True;;DATA[11];;;0mm;;;
124;;DATA[10];;;;;124;;;Passive;;1;;True;;True;;DATA[10];;;0mm;;;
125;;DATA[9];;;;;125;;;Passive;;1;;True;;True;;DATA[9];;;0mm;;;
126;;DATA[8];;;;;126;;;Passive;;1;;True;;True;;DATA[8];;;0mm;;;
127;;DATA[7];;;;;127;;;Passive;;1;;True;;True;;DATA[7];;;0mm;;;
128;;VSS;;;;;128;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
129;;DATA[6];;;;;129;;;Passive;;1;;True;;True;;DATA[6];;;0mm;;;
130;;DATA[5];;;;;130;;;Passive;;1;;True;;True;;DATA[5];;;0mm;;;
131;;DATA[4];;;;;131;;;Passive;;1;;True;;True;;DATA[4];;;0mm;;;
132;;DATA[3];;;;;132;;;Passive;;1;;True;;True;;DATA[3];;;0mm;;;
133;;VDDI;;;;;133;;;Passive;;1;;True;;True;;VDDI;;;0mm;;;
134;;DATA[2];;;;;134;;;Passive;;1;;True;;True;;DATA[2];;;0mm;;;
135;;DATA[1];;;;;135;;;Passive;;1;;True;;True;;DATA[1];;;0mm;;;
